library_id,library_name,address,phone,email
1,West Kristinfort Public Library,"98014 Guerrero Gardens, Jeffreyview, NE 77552",442.347.2321,tscott@example.org
2,West Carrie Research Library,"322 Daniel Ranch Apt. 328, Josephmouth, WV 96153",5613024968,marie95@example.org
3,Taylorburgh State Library,"429 Shane Rue, Murphyville, AS 12364",(710)688-7933,gabriellefischer@example.net
4,Julieside State Library,"50499 Maria Skyway, West Pamelaville, PW 67467",3418719824,fernando40@example.org
5,Johnsonburgh Public Library,"08510 Wilson Landing Suite 775, Millerview, FM 68503",6438966294,jessica17@example.net
6,Eatonville Municipal Library,"0158 Carol Forks Suite 890, West Sandraburgh, MN 32910",960.775.7604,mcneilsarah@example.org
7,Clementsstad State Library,"36729 William Highway, Port Derek, PA 83073",949.446.1385,rpittman@example.net
8,Wrighttown State Library,"5110 Powers Bridge, Lake Elijah, ME 79292",258-310-1039x056,jeffery81@example.com
9,East Wandafort Municipal Library,"48529 Sanchez Valley Suite 538, North Jennifer, VT 78475",913-938-5300,ngibson@example.net
10,Robertbury Research Library,"597 Williams Vista, Rickymouth, KS 65862",428-911-6962x271,vincent36@example.com
